tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,polyline
853,6/5/15 20:37,6/5/15 20:51,251,Mott St & Prince St,40.72317958,-73.99480012,435,W 21 St & 6 Ave,40.74173969,-73.99415556,17017,Subscriber,1968,1,}vpwFzbsbMb@LcCrHaFwD{AiAcCiBoCiBqCoBqGaFaCmBeAcAQWe@_AcBqA_@WYMwAUgHgAyCc@oAEe@BaAJ|A}EiGaEiFiDgFoDz@iCwBuA{B~GcAjDsGjSoHnU
679,6/5/15 20:52,6/5/15 21:04,435,W 21 St & 6 Ave,40.74173969,-73.99415556,348,W Broadway & Spring St,40.72490985,-74.00154702,17017,Subscriber,1991,1,aktwFh~rbMqEhNtBtApFwPlGaStBtAjFfDpFvDdBhAnD~B|BtA~B~AlFlDdErCvAz@KVuCpHrBbBtB`BjAwChA{CdAmCvJ~HhMbKfDjC
599,6/5/15 22:21,6/5/15 22:31,348,W Broadway & Spring St,40.72490985,-74.00154702,285,Broadway & E 14 St,40.73454567,-73.99074142,17017,Customer,,0,{aqwF`mtbM{Q{N}GuFoB}AjA}CWSaEcD[c@{CgCuB_BmBaBmFmE{BeBeCmBTs@r@{BFOl@H
1003,6/5/15 23:13,6/5/15 23:29,285,Broadway & E 14 St,40.73454567,-73.99074142,304,Broadway & Battery Pl,40.70463334,-74.01361706,17017,Subscriber,1989,1,_~rwFtirbMtBXoBhGyCtJ|BtAtFxDvBrA_CjHaCvHCRPpBj@xHh@`Hn@|H`AjL\|DF`@J^ZdDD\V?lGr@|Gx@tCZSjEAXCr@I`@p@BL?XAdBFpJt@bAHd@@nCVnD^fGt@bCVzG|@t@PxDn@`AHrBX`@N`ANIl@U~CQ|BBND@AV?VBRO|B[lDALBD~APxQlBXNT?V?\DNFnD\DUb@qFBCHAdFx@XDBFa@~DC^@VtI`A~MvBJe@JWXiAFGFCF@lEvALLFL@NAn@BNN`@TH~@N\Al@M?OTi@Jw@\a@n@oAKUO]LKLKZa@DINa@Je@Dk@BUB_@Am@EeB?s@PaCHm@P}@Pg@YEFYDY@gA
1336,6/6/15 0:45,6/6/15 1:07,304,Broadway & Battery Pl,40.70463334,-74.01361706,82,St James Pl & Pearl St,40.71117416,-74.00016545,17017,Customer,,0,obmwFdxvbMDgA|AOH}Hn@?v@?l@E|@Ky@{EOo@iAwByEcIwCsEgGyJoBsDoBuBkDmEoCsDUOSOe@[uBsAs@e@sAoA
551,6/6/15 1:11,6/6/15 1:21,82,St James Pl & Pearl St,40.71117416,-74.00016545,295,Pike St & E Broadway,40.71406667,-73.99293911,17017,Customer,,0,elnwFtdtbMmBoBCq@c@qISgDSaFYaHCuBCW?C?MA]Ag@I}C@YuCRcCPiBNBz@@b@r@C
498,6/6/15 5:21,6/6/15 5:29,295,Pike St & E Broadway,40.71406667,-73.99293911,417,Barclay St & Church St,40.71291224,-74.01020234,17017,Subscriber,1964,2,{}nwFhwrbMv@GN`E?L@^?h@?V?Vj@vOdCe@nCc@RfDb@pIBp@vCxC|@r@dBjAMb@k@z@qAjAiCbBFl@T`ALT^l@RTj@b@r@Tj@f@zCjD}DzDcBnB[`@w@r@w@x@RvA@RCZIRY^YRoCzHm@`B
853,6/6/15 11:48,6/6/15 12:03,417,Barclay St & Church St,40.71291224,-74.01020234,127,Barrow St & Hudson St,40.73172428,-74.00674436,17017,Subscriber,1977,2,}vnwFpbvbMeCnHu@fCmBrEq@QiBYQ~AUIiEq@_@BsCg@a@IoCc@aAOQI}@Oo@IoAMqDm@w@QSE}HaAgKoAmGo@iACqHi@mBS{AGO?M?eAAcAG[GKAG??G@SBeA[CTkEDo@h@iL_Ho@qCUAZ
2540,6/6/15 12:50,6/6/15 13:32,127,Barrow St & Hudson St,40.73172428,-74.00674436,405,Washington St & Gansevoort St,40.739323,-74.008119,17017,Customer,,0,alrwFdmubMSrEwEu@gG_Ae@MyB_@qCa@oCm@uAOgCEoFCcCABlG@x@J?
2459,6/6/15 13:39,6/6/15 14:20,405,Washington St & Gansevoort St,40.739323,-74.008119,346,Bank St & Hudson St,40.73652889,-74.00618026,17017,Customer,,0,w{swFpuubMfFLlFPzCP{@qL
1382,6/6/15 15:51,6/6/15 16:14,346,Bank St & Hudson St,40.73652889,-74.00618026,225,W 14 St & The High Line,40.74195138,-74.00803013,17017,Subscriber,1985,2,ajswFpiubMHrAuAOgCEoFCcCAQCOEqAaA_EgCgCbIoA`E
897,6/6/15 17:00,6/6/15 17:15,225,W 14 St & The High Line,40.74195138,-74.00803013,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,17017,Subscriber,1979,1,ultwFztubMn@uB^kAPLtBtA~BtALD|DVdDHtDNtDLxAHhCDjEXbEPjDPV?~BV~Gx@`Hv@SxEATCh@I`@x@BJA\?zAFlBRpHh@hABlGn@fKnA|H`ARDv@PpDl@nALlBXPH`ANnCb@`@HrCf@^ChEp@THYpD{@bCQb@oAbDGf@^?h@Fj@Pf@TFCJU
349,6/6/15 18:26,6/6/15 18:32,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,329,Greenwich St & N Moore St,40.72043411,-74.01020609,17017,Subscriber,1984,2,cfowFljwbMr@yBwB}AMWa@WEGK[GIuDkC{B_Bx@yBh@wAfBeFz@aCtCaIaC]uE_@eCSoCYkAKs@CeAOkD_@OAKdDQlC~@J
1851,6/7/15 18:06,6/7/15 18:37,329,Greenwich St & N Moore St,40.72043411,-74.01020609,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17017,Customer,,0,sepwF`bvbMbAL~Fd@fC\rFv@vBd@e@nAm@bBiBfFOb@WGIAqEs@a@OsBYaAIyDo@u@Q{G}@cCWgGu@oD_@oCWe@AcAIqJu@eBGY@qAEy@GYGyDQgEQaA?]Ai@@yAKy@IsAEeAIwBG{@?mAC_AEkBQoHU]?_ERiAAaAMw@Uo@YUAWIk@a@m@i@i@S{@OaJiA]AuBSo@IGEYG_CWo@S_BM@WBe@UC}Gw@]AiCYaCQm@Bo@HcA\eBt@g@Pq@Lo@DUAc@Ec@Io@UsCw@lDmKRw@zD{L\gA
456,6/7/15 20:27,6/7/15 20:35,388,W 26 St & 10 Ave,40.74971775,-74.00295035,459,W 20 St & 11 Ave,40.746745,-74.007756,17017,Customer,,0,o|uwFrutbMbCwH\qAzAiEzD`CnBpAnIvFtBtAtBvAkFjPuBsAe@zAqC`J
688,6/7/15 21:19,6/7/15 21:30,459,W 20 St & 11 Ave,40.746745,-74.007756,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17017,Subscriber,1986,1,cjuwFnsubMIRQA}BSrDkLh@_BmA{@m@a@hFqPlD|BbAp@rFaQ~Mmb@zG}SfGsRhGuRpEsN
893,6/8/15 8:14,6/8/15 8:29,461,E 20 St & 2 Ave,40.73587678,-73.98205027,463,9 Ave & W 16 St,40.74206539,-74.00443172,17017,Subscriber,1960,2,kfswFtrpbMrDkLuBsAkOve@gTlq@qFvPaNvb@zGlEfIpF
687,6/8/15 11:47,6/8/15 11:59,463,9 Ave & W 16 St,40.74206539,-74.00443172,497,E 17 St & Broadway,40.73704984,-73.99009296,17017,Customer,,0,qmtwFj_ubMWOz@mCvDuLeHuEoDaC~Mmb@zG}SvAsEdAP`APj@J`@JRFtC`@LDLHHWHS
222,6/8/15 18:50,6/8/15 18:54,497,E 17 St & Broadway,40.73704984,-73.99009296,168,W 18 St & 6 Ave,40.73971301,-73.99456405,17017,Subscriber,1980,1,gmswFherbMkCbIyHbVsBuAb@uA
499,6/8/15 19:00,6/8/15 19:08,168,W 18 St & 6 Ave,40.73971301,-73.99456405,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17017,Subscriber,1987,2,}}swFdasbMjFkPhFjDvE~Cj@^lG~DtFxDtKbHuCnHKXTRrEpDjAwCh@`@
801,6/8/15 19:23,6/8/15 19:36,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,150,E 2 St & Avenue C,40.7208736,-73.98085795,17017,Subscriber,1987,1,kdrwF||sbMi@a@`AeCNg@~GgQlAaDVa@~@_CX_Aj@yAR[Xs@p@kBDWxDsLhE}MhD{KXu@~Jm[xFxDVw@
774,6/9/15 7:37,6/9/15 7:50,150,E 2 St & Avenue C,40.7208736,-73.98085795,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17017,Subscriber,1985,1,whpwFbkpbM}EnOcElM_C_Bq@c@iAs@uBuAmBmAGKsFoDuBuAuDxLgEzMmClIoCtIqBbGgE|MeGnRaCvHCRPpBYFwCzAwHzDaI|DuDjB
923,6/9/15 8:00,6/9/15 8:16,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,457,Broadway & W 58 St,40.76695317,-73.98169333,17017,Subscriber,1985,1,}yswFfstbMcAf@iAu@kCeBiJgGaR{LiZ{RqH_FkIoFq^_VwJqGyFuDyFuDuNkJcK{G{A_Ai@_@L]f@_B\D
